Title,Company,Career,academic,Location,Type,Skill,Address,Company_link,Title_link,S_day,D_day
생성형 AI 컨설턴트 및 엔지니어 채용,㈜비아이매트릭스,경력3년↑,학력무관,서울 강남구,정규직,,"서울 강남구 선릉로 433 (역삼동, 세방빌딩) 신관 7,11,17층(06212)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/21815564,https://www.jobkorea.co.kr/Recruit/GI_Read/44676691?rPageCode=SL&logpath=21&sn=6,2024.05.14(화),2024.05.31(금)
[키토크 AI] 데이터 전처리/파이썬 인턴 모집 (AI 스타트업),㈜키토크AI,경력무관,학력무관,서울 강남구,계약직 외,"Python, SQL","서울 강남구 테헤란로5길 7 (역삼동, KGTower) 12층 109호",https://www.jobkorea.co.kr/Recruit/Co_Read/C/18493287,https://www.jobkorea.co.kr/Recruit/GI_Read/44678652?rPageCode=SL&logpath=21&sn=6,2024.05.14(화),2024.06.13(목)
(주)이노룰스 머신러닝 개발자 상시채용,㈜이노룰스,경력5년↑,학력무관,서울 송파구,정규직,기본우대유관업무 경력자(10년),"서울 송파구 법원로6길 7 (문정동, 송파유탑테크밸리) 12층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/351471,https://www.jobkorea.co.kr/Recruit/GI_Read/44221473?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
Vision 영상처리(2D/3D) S/W 개발,㈜에이치비테크놀러지,경력,대졸↑,서울 강남구,정규직,,서울 강남구 언주로 819 (신사동) HB테크놀러지 부설연구소,https://www.jobkorea.co.kr/Recruit/Co_Read/C/66665,https://www.jobkorea.co.kr/Recruit/GI_Read/44665144?rPageCode=SL&logpath=21&sn=6,2024.05.13(월),2024.06.12(수)
[신입 / 경력] 소프트웨어(SW) 우수인재 모집,㈜제노레이,신입·경력,대졸↑,서울 강남구,정규직,기본우대유관업무 경력자우대전공응용소프트웨어공학,"서울 강남구 테헤란로114길 38 (대치동, 동일타워) 8층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/43741,https://www.jobkorea.co.kr/Recruit/GI_Read/44667259?rPageCode=SL&logpath=21&sn=6,2024.05.13(월),2024.07.12(금)
AI 비전 딥러닝 개발자 (연구소) (신입/경력),㈜에이치비테크놀러지,신입·경력3년↑,대졸↑,서울 강남구,정규직,,서울 강남구 언주로 819 (신사동) HB테크놀러지 부설연구소,https://www.jobkorea.co.kr/Recruit/Co_Read/C/66665,https://www.jobkorea.co.kr/Recruit/GI_Read/44673895?rPageCode=SL&logpath=21&sn=6,2024.05.13(월),2024.06.12(수)
[컴투스] 2024년 프로그래밍 전문연구요원 (편입) 채용,㈜컴투스,경력,학력무관,서울 금천구,정규직,,서울 금천구 가산동 371-17 BYC하이시티 A동 12층,https://www.jobkorea.co.kr/Recruit/Co_Read/C/33797,https://www.jobkorea.co.kr/Recruit/GI_Read/44657122?rPageCode=SL&logpath=21&sn=6,2024.05.10(금),2024.06.28(금)
[(주)씨이랩] 백엔드 개발자 모집,㈜씨이랩,경력3년↑,대졸↑,서울 강남구,정규직,"Hadoop, Hbase, JAVA, Python, Redis, Spark, SQL","서울 강남구 언주로 617 (논현동, 논현동자동차전시장) 4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/178205,https://www.jobkorea.co.kr/Recruit/GI_Read/44641062?rPageCode=SL&logpath=21&sn=6,2024.05.09(목),2024.06.08(토)
[(주)씨이랩] Backend Engineer 모집,㈜씨이랩,경력2년↑,대졸↑,서울 강남구,정규직,"Hadoop, Hbase, JAVA, Python, Redis, Spark, SQL","서울 강남구 언주로 617 (논현동, 논현동자동차전시장) 4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/178205,https://www.jobkorea.co.kr/Recruit/GI_Read/44641052?rPageCode=SL&logpath=21&sn=6,2024.05.09(목),2024.06.08(토)
[연구개발본부] IT개발자(QA/백엔드/프론트엔드/ML/데이터분석) 경력 채용,㈜이글루코퍼레이션,경력2년↑,초대졸↑,서울 송파구,정규직,"Docker, JAVA, Kafka, kubernetes, MySQL, Python, Pytorch, Tensorflow, Spring Framework, RDB","서울 송파구 정의로8길 7 (문정동, 한스빌딩) (주)이글루코퍼레이션",https://www.jobkorea.co.kr/Recruit/Co_Read/C/50993,https://www.jobkorea.co.kr/Recruit/GI_Read/44592263?rPageCode=SL&logpath=21&sn=6,2024.05.02(목),2024.06.30(일)
