,Url,Location,Company,Title,Career,Payment,Education,Text,Tag
65,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48075170,서울 서초구 외,(주)에비드넷,데이터엔지니어 (데이터 구축 및 운영),경력 3~6년,면접 후 결정,대졸(4년제) 이상,,"기획·전략,데이터분석,IT개발·데이터,데이터분석가,데이터엔지니어,데이터라벨링,데이터마이닝,데이터시각화,Docker,Linux,MSSQL,MySQL,NoSQL,PL/SQL,PostgreSQL,SQL,SQLite,서울,강남구,서초구,송파구"
66,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48093786,서울 구로구,㈜비디,AI DATA팀  프로젝트 SI - JAVA 기반 웹 프론트/백엔드 개발자,경력 9년 ↑,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,Javascript,Linux,RestAPI,백엔드/서버개발,RDBMS,jQuery,SpringBoot,JPA,Java,서울,구로구"
67,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48091317,서울 강남구,(주)데이블,Senior Machine Learning Engineer (4년 이상),경력 4~10년,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,머신러닝,모델링,데이터엔지니어,Pytorch,SQL,Python,Spark,딥러닝,Kubernetes,AWS,서울,강남구"
68,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48089324,서울 강남구,에이블맥스(주),"[에이블맥스(주)] 빅데이터 PHM,CBM+ 개발자(팀장/팀원) 채용",경력 3년 ↑,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,데이터엔지니어,서울,강남구"
69,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48069651,서울 강남구 외,(주)쓰리아이,3D Computer Vision Engineer,경력 2~20년,회사내규에 따름,대졸(4년제) 이상,,"IT개발·데이터,웹개발,Java,데이터엔지니어,데이터분석가,백엔드/서버개발,딥러닝,머신러닝,데이터시각화,빅데이터,정보통신,AI(인공지능),Git,Python,Linux,SQL,Spring,서울,강남구"
70,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48065521,서울 서초구,(주)포바이포,[코스닥상장사] 영상화질개선 기술개발,신입·경력 2~6년,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,AI(인공지능),빅데이터,머신러닝,딥러닝,알고리즘,솔루션,Tensorflow,Pytorch,Python,백엔드/서버개발,연구·R&D,AI(인공지능),서울,서초구"
71,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48073429,서울 송파구,주식회사 해줌,[에너지 IT기업 해줌] 데이터사이언티스트 채용,경력 3~19년,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,AI(인공지능),빅데이터,딥러닝,머신러닝,Python,Pytorch,Tensorflow,알고리즘,데이터분석가,서울,송파구"
72,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48069310,서울 서초구,Upgrade Manufacturing Inc,소프트웨어 개발/기획 업무 경력 채용,경력 7년 ↑,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,백엔드/서버개발,웹개발,앱개발,프론트엔드,서울,서초구"
73,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48059886,서울 서초구 외,(주)럭스로보,AI개발자,신입·경력 1년 ↓,회사내규에 따름,대졸(4년제) 이상,,"IT개발·데이터,데이터분석가,데이터엔지니어,데이터라벨링,데이터마이닝,데이터시각화,빅데이터,SQL,Python,Matlab,GCP,AWS,머신러닝,딥러닝,서울,경기,김포시"
74,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48066350,서울 강남구,(주)딥세일즈,인공지능 서비스 UX/UI 디자이너(5년 이상),경력 5~10년,면접 후 결정,학력무관,,"IT개발·데이터,퍼블리셔,CSS,HTML5,CSS3,Javascript,ECMAScript,기획·전략,UI/UX,디자인,앱디자인,UI/UX디자인,웹디자인,Figma,Sketch,Zeplin,상세페이지,서울,강남구"
75,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48061953,서울 서초구,아주큐엠에스(주),Java 개발자,경력 6년 ↑,면접 후 결정,학력무관,,"IT개발·데이터,웹개발,Java,서울,서초구"
76,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48060871,서울 송파구,아이넷캅,[경력·전문연] 딥러닝/머신러닝 개발자 채용(내일채움공제가능),신입·경력 1년 ↑,면접 후 결정,석사졸업 이상(예정자 가능),,"IT개발·데이터,Python,Scipy,numpy,Pandas,Tensorflow,서울,송파구"
