,Location,Company,Title,Career,Edu,URL,InfoDetails,Tag,D_Day
219,서울 강남구 외,(주)에너자이,(전문연구요원 가능) AI 컴파일러 엔지니어 채용,신입·경력 10년 ↓,대졸(4년제) 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=42977925,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구",상시채용
220,서울 강남구 외,올거나이즈코리아(주),Engineering Director,경력 7~25년,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48140300,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구",시작일2024.05.07 00:00마감일2024.05.30 23:59
221,서울 금천구 외,(주)인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP)",경력 2~7년,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48140266,,"IT개발·데이터,웹개발,Java,데이터엔지니어,데이터분석가,백엔드/서버개발,딥러닝,머신러닝,데이터시각화,빅데이터,정보통신,AI(인공지능),Git,Python,Linux,SQL,Spring,서울,강남구",시작일2024.05.07 00:00마감일2024.07.31 23:59
222,서울 구로구,주식회사 몹티콘,인공지능 영상 알고리즘 개발자 채용,무관(신입포함),대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48152903,,"IT개발·데이터,머신러닝,S/W,C++,C언어,딥러닝,서울,구로구",시작일2024.05.08 15:00마감일2024.06.07 23:59
223,서울 강남구,테크빌교육(주),[테크빌교육] 웹개발(Java/Python) 및 운영업무 팀장급 채용,경력 8년 ↑,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48075278,,"IT개발·데이터,백엔드/서버개발,앱개발,웹개발,SI개발,SQA,데이터엔지니어,데이터분석가,머신러닝,딥러닝,메타버스,AI(인공지능),펌웨어,솔루션,빅데이터,네트워크,NLP(자연어처리),NLU(자연어이해),알고리즘,OpenCV,estimation,Tensorflow,Pytorch,Python,서울,강남구",시작일2024.04.25 16:00마감일2024.05.25 23:59
224,서울 송파구,(주)넥스트코어테크놀로지,Linux/Java 기반 AI 서버 개발자 모집,무관(신입포함),"대졸(2,3년제) 이상",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48139986,,"IT개발·데이터,백엔드/서버개발,정보통신,Java,Linux,MySQL,풀스택,딥러닝,머신러닝,데이터마이닝,임베디드리눅스,서울,송파구",시작일2024.05.07 13:00마감일2024.06.06 23:59
225,서울 서초구 외,한국딥러닝(주),[한국딥러닝] AI 엔지니어 1년 이상,경력 1~5년,대졸(4년제) 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48064662,,"IT개발·데이터,데이터엔지니어,빅데이터,딥러닝,머신러닝,클라우드,AWS,인프라,서울,서초구,경기",상시채용
226,서울 강남구 외,(주)휴머스온,Senior Developer(팀장급) (근무조건 협의 가능),경력 10~15년,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48120468,,"IT개발·데이터,기술지원,SE(시스템엔지니어),딥러닝,머신러닝,빅데이터,빌링,펌웨어,AI(인공지능),API,SDK,C++,C언어,Linux,OpenCV,Python,Pytorch,RestAPI,Tensorflow,VisualC·C++,연구·R&D,AI(인공지능),서울,강서구,경기,김포시,파주시",시작일2024.05.03 00:00마감일2024.06.01 23:59
227,서울 금천구,(주)더원테크,빅데이터 분석 및 시각화 프로그램 개발자 모십니다.,신입·경력(년수무관),대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48087898,,"IT개발·데이터,빅데이터,AI(인공지능),데이터라벨링,데이터시각화,데이터분석가,딥러닝,머신러닝,데이터엔지니어,데이터마이닝,GIS,ETL,SI개발,솔루션,DW,DBMS,ArcGIS,Java,Javascript,QGIS,Python,Kafka,Keras,PostgreSQL,Pytorch,R,SQL,서울,금천구",시작일2024.04.29 01:00마감일2024.05.29 23:59
228,서울 금천구,(주)더원테크,빅데이터 와 인공지능 AI 프로그램 개발자 모십니다.,신입·경력(년수무관),대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48087889,,"IT개발·데이터,데이터분석가,DBA,데이터마이닝,빅데이터,DW,ETL,AI(인공지능),PostgreSQL,Python,R,데이터엔지니어,데이터시각화,딥러닝,머신러닝,모델링,AI,GIS,QGIS,DBMS,ArcGIS,SQL,SI개발,Java,Kafka,Keras,MySQL,OracleDB,Pandas,Pytorch,서울,금천구",시작일2024.04.29 01:00마감일2024.05.29 23:59
